keys,en,ru,uz
or,or,или,yoki
forgotPassword,Forgot Password?,Забыли пароль?,Parolni unutdingizmi?
dontHaveAccount,Don’t have an account?,Нет учетной записи?,Hisobingiz yo‘qmi?
signUp,Sign Up,Зарегистрироваться,Ro‘yxatdan o‘tish
createYourAccount,Create your account,Создайте свой аккаунт,Hisob qaydnomangizni yarating
email,Email,Электронная почта,Elektron pochta
cantBeEmpty,Can’t be empty,Не может быть пустым,Bo‘sh bo‘lishi mumkin emas
enterYourEmail,Enter your email,Введите адрес электронной почты,Elektron pochtangizni kiriting
weWillSendYouACode,We’ll send you a code to reset your password,Мы отправим вам код для сброса пароля,Parolingizni tiklash uchun sizga kod yuboramiz
enterCode,Enter code,Введите код,Kodni kiriting
weHaveSentYou,We have sent a code to,Мы отправили код на,Biz kodni yubordik
newPassword,New password,Новый пароль,Yangi parol
passwordMustContain,Password must contain at least 5 letters,Пароль должен содержать не менее 5 букв,Parol kamida 5 ta belgidan iborat bo‘lishi kerak
repeatPassword,Repeat password,Повторите пароль,Parolni qayta kiriting
passwordReset,Password reset,Пароль сброшен,Parol tiklandi
didnotGetIt,Didn’t get it?,Не получили?,Qabul qilmadingizmi?
sendAgain,Send again,Отправить еще раз,Yana yuborish
changePassword,Change password,Изменить пароль,Parolni o‘zgartirish
signInNow,Sign in now,Войти сейчас,Hozir kirish
resendCode,Resend code,Отправить код повторно,Kodni qayta yuborish
skipStep,Skip step,Пропустить шаг,Qadamni o‘tkazib yuborish
tellUsAboutY,Tell us about yourself,Расскажите о себе,O‘zingiz haqingizda gapirib bering
firstName,First name,Имя,Ism
lastName,Last name,Фамилия,Familiya
emailAddress,Email address,Адрес электронной почты,Elektron pochta manzili
welcomeToLetiEdu,Welcome to Leti School!,Добро пожаловать в школу Leti,Leti Edu maktabiga xush kelibsiz
trackYourLearning,"Track your learning progress, personalize your experience and earn achievements","Отслеживайте свой прогресс в обучении, персонализируйте свой опыт и получайте достижения","O‘rganish jarayonini kuzatib boring, tajribangizni shaxsiylashtiring va yutuqlarga erishing"
createAnAccount,Create an account,Создайте учетную запись,Hisob ochish
signin,Sign in,Войти,Tizimga kirish
skipfornow,Skip,Пропустить,O‘tkazib yuborish
homeTab,HOME,ГЛАВНАЯ,BOSH SAHIFA
learingTab,LEARNING,ОБУЧЕНИЕ,O‘QISH
coursesTab,COURSES,КУРСЫ,KURSLAR
profileTab,PROFILE,ПРОФИЛЬ,PROFIL
welcometoEdulab,Welcome to Edulab,Добро пожаловать в Edulab,Edulab’ga xush kelibsiz
trackyourlearning,"Track your learning progress, personalize your experience and earn achievements","Отслеживайте свой прогресс в обучении, персонализируйте свой опыт и зарабатывайте достижения","O‘rganish jarayonini kuzatib boring, tajribangizni shaxsiylashtiring va yutuqlarga erishing"
createanaccount,Create an account,Создайте аккаунт,Yangi profil ochish
createayourccount,Create your account,Создайте аккаунт,Yangi profil ochish
skipforNow,Skip for now,Пропустить,O‘tkazib yuborish
signin,Sign in,Войти,Tizimga kirish
signup,Sign up,Зарегистрироваться,Ro‘yxatdan o‘tish
skip,Skip,Пропускать,O‘tkazib yuborish
bysignningAgree,By signing up you agree to Edulab’s Terms of Service and Privacy Policy.,"Регистрируясь, вы соглашаетесь с Условиями обслуживания и Политикой конфиденциальности Edulab.",Ro‘yxatdan o‘tish orqali siz Edulab’ning xizmat ko‘rsatish shartlari va maxfiylik siyosatiga rozilik bildirasiz.
existinguser,Existing user,Существующий пользователь,Mavjud foydalanuvchi
buildskillsfortodayetc,"Build skills for today, tomorrow, and beyond. Education to future-proof your career.","Развивайте навыки для сегодняшнего, завтрашнего дня и за его пределами. Образование, которое обеспечит вашу карьеру в будущем.","Bugun, ertaga va undan keyingi kunlar uchun ko‘nikmalarni rivojlantiring. Kelajakdagi martabangizni mustahkamlovchi ta’lim."
phonenumber,Phone number,Номер телефона,Telefon raqami
continuewithGoogle,Continue with Google,Продолжить с Google,Google orqali davom eting
entercode,Enter code,Введите код,Kodni kiriting
wehavesentyoucodeto,We have sent you code to,Мы отправили вам код на,Sizga kod yubordik
resetafter,Reset after,Сбросить через,Qayta tiklash
seconds,seconds,секунды,soniya
resendcode,Resend code,Отправить код еще раз,Kodni qayta yuborish
firstname,First name,Имя,Ism
lastname,Last name,Фамилия,Familiya
emailaddress,Email address,Адрес электронной почты,Elektron pochta manzili
password,Password,Пароль,Parol
skipstep,Skip step,Пропустить шаг,Qadamni o‘tkazib yuborish
startlearning,Start learning,Начать обучение,O‘rganishni boshlang
donthaveanaccountyet,Don’t have an account yet?,У вас еще нет учетной записи?,Hali profilingiz yo‘qmi?
forgotpassword,Forgot password,Забыли пароль,Parolni unutdingizmi
cantbeempty,Can’t be empty,Не может быть пустым,Bo‘sh bo‘lishi mumkin emas
enteryouremailorphone,Enter your email or phone,Введите адрес электронной почты или телефон,Elektron pochtangizni yoki telefon raqamingizni kiriting
wellsendyou,We’ll send you a link or code to reset your password,Мы вышлем вам ссылку или код для сброса пароля,Parolingizni tiklash uchun havola yoki kod yuboramiz
checkyouremailandopen,Check your email and open the link we sent to continue,"Проверьте свою электронную почту и откройте ссылку, которую мы отправили",Elektron pochtangizni tekshiring va davom etish uchun yuborgan havolani oching
didntgetit,Didn’t get it?,Не получили?,Kelmadimi?
sendmeanewemail,Send me a new email,Отправьте мне новое письмо,Menga yangi elektron pochta xabarini yuboring
newpassword,New password,Новый пароль,Yangi parol
repeatpassword,Repeat password,Повторите пароль,Parolni qayta kiriting
changepassword,Change password,Изменить пароль,Parolni o‘zgartirish
passwordreset,Password reset,Пароль восстановлен,Parol tiklandi
signinnow,Sign in now,Войдите сейчас,Hozir kiring
numberShouldStart,Number should start with 998,Номер должен начинаться с 998,Raqam 998 dan boshlanishi kerak
pleaseEnterValidPhoneNumber,Please enter a valid phone number,"Введите, пожалуйста, действительный номер телефона","Iltimos, to‘g‘ri telefon raqamini kiriting"
myStudy,My Study,Мое обучение,Mening o‘qishim
viewAll,View all,Посмотреть все,Hammasini ko‘rish
courseProgress,Course progress,Прогресс курса,Kurs jarayoni
tellUsAboutYrself,Tell us about yourself,Расскажите о себе,O‘zingiz haqingizda gapirib bering
welcomeBack,Welcome back,Добро пожаловать,Xush kelibsiz
or,or,или,yoki
recommendedForYou,Recommended For You,Рекомендуется для вас,Siz uchun tavsiya etiladi
authors,Authors,Авторы,Mualliflar
coursesWithnumber,courses,курсы,Kurslar
softSkills,Soft Skills and self-development,Soft Skills и саморазвитие,Soft skills va o‘zini rivojlantirish
learnNewSkills,Learn new skills,Изучите новые навыки,Yangi ko‘nikmalarni o‘rganing
proveYourPotential,Prove your potential.,Докажите свой потенциал.,O‘z salohiyatingizni isbotlang.
continueButton,Continue,Продолжить,Davom eting
viewAllCourses,View all courses,Посмотреть все курсы,Barcha kurslarni ko‘rish
itLooksLikeUJNotEnroller,It looks like you’re not enrolled in any courses. Get started by finding something to learn,"Похоже, вы не записаны ни на какие курсы. Начните с поиска того, чему можно научиться",Siz hali hech qanday kursga yozilmaganga o‘xshaysiz. O‘rganish uchun biror narsa topib boshlang
findsomethingToLearn,Find something to learn,Найдите чему поучиться,O‘rganish uchun biror narsa toping
showAll,Show all,Показать все,Hammasini ko‘rsatish
buy,Buy,Купить,Sotib olish
tryForFree,Try for free,Попробуйте бесплатно,Bepul sinab ko‘ring
courseMaterials,Course materials,Материалы курса,Kurs materiallari
whatUWillLearn,What you’ll learn,Чему вы научитесь,Siz nimani o‘rganasiz
certificateOfCompletion,Certificate of completion,Сертификат об окончании,Tugatish sertifikati
skillLevel,SKILL LEVEL,УРОВЕНЬ НАВЫКА,MAHORAT DARAJASI
prerequisities,Prerequisites,Предварительные условия,Oldindan talablar
none,None,Нет,Yo‘q
timeToComplete,Time to complete,Время для завершения,Tugatish vaqti
skilllsUWillGain,Skills you’ll gain,"Навыки, которые вы получите",Siz qo‘lga kiritadigan ko‘nikmalar
description,Description,Описание,Tavsif
clearFilter,Clear filter,Очистить фильтр,Filtrni tozalash
allCategories,All categories,Все категории,Barcha toifalar
search,Search,Поиск,Izlash
filter,Filter,Фильтр,Filtr
topic,Topic,Тема,Mavzu
level,Level,Уровень,Daraja
withCertificate,With certificate,С сертификатом,Sertifikat bilan
onlyFree,Only free,Только бесплатный,Faqat bepul
language,Language,Язык,Til
softSkills,Soft Skills,Гибкие навыки,Yumshoq ko‘nikmalar
newCourses,New courses,Новые курсы,Yangi kurslar
categories,Categories,Категории,Kategoriyalar
shopOurSale,Shop our sale,Делайте покупки на нашей распродаже,Bizning sotuvimizni xarid qiling
weHaveGotLearning,We’ve got learning for all skill levels. Get courses from 99 000 UZS.,У нас есть обучение для всех уровней квалификации. Приобретайте курсы от 99 000 сум.,Bizda barcha mahorat darajalari uchun o‘rganish mavjud. 99 000 so‘mdan boshlab kurslarga ega bo‘ling.
dayLeft,day left!,день остался!,kun qoldi!
daysLeft,days left!,осталось дней!,kunlar qoldi!
languages,Languages,Языки,Tillar
learningStatisctics,Learning Statistics,Статистика обучения,O‘rganish statistikasi
inProgress,In progress,В процессе,Jarayonda
completed,Completed,Завершенные,Yakunlangan
favorites,Favorites,Избранное,Sevimlilar
archived,Archived,Архив,Arxivlangan
myLearning,My Learning,Мое обучение,Mening o‘rganishim
achievements,Achievements,Достижения,Yutuqlar
certificates,Certificates,Сертификаты,Sertifikatlar
videoPreferences,Video preferences,Настройки видео,Video sozlamalari
downloadOptions,Download options,Варианты загрузки,Yuklab olish imkoniyatlari
videoPlayBackOptions,Video playback options,Параметры воспроизведения видео,Videoni ijro etish imkoniyatlari
accountSettings,Account settings,Настройки учетной записи,Profil sozlamalari
accountSecurity,Account security,Безопасность аккаунта,Hisob xavfsizligi
learningReminders,Learning reminders,Напоминания об обучении,O‘rganish eslatmalari
emailNotifications,Email notification preferences,Настройки уведомлений по почте,Elektron pochta sozlamalari
language,Language,Язык,Til
appearance,Appearance,Вид,Tashqi ko‘rinish
theme,Theme,Тема,Tema
fonSizeInSteps,Font size in steps,Размер шрифта в шагах,Shrift hajmi bosqichma-bosqich
helpAndSupport,Help and support,Помощь и поддержка,Yordam va qo‘llab-quvvatlash
frequesntlyAskedQuestions,Frequently asked questions,Часто задаваемые вопросы,Tez-tez so‘raladigan savollar
aboutEdulab,About Edulab,Об Edulab,Edulab haqida
logout,Logout,Выйти,Chiqish
chooseLanguage,Choose language,Выберите язык,Tilni tanlang
next,Next,Далее,Keyingi
priacySettings,Privacy settings,Настройки конфиденциальности,Maxfiylik sozlamalari
showYourProfileToLoggedUsers,Show your profile to logged-in users,Покажите свой профиль вошедшим в систему пользователям,Tizimga kirgan foydalanuvchilarga profilingizni ko‘rsating
showCoursesYouAreTaking,Show courses you're taking on your profile page,"Покажите курсы, которые вы посещаете, на странице своего профиля.",Profil sahifangizda o‘qiyotgan kurslaringizni ko‘rsating
light,Light,Светлый,Yorug‘
dark,Dark,Темный,Qorong‘i
systemDefault,System default,Системная тема,Tizim standarti
noResults,No results,Нет результатов,Natija yo‘q
noInternetC,No Internet Connection,Нет подключения к интернету,Internetga ulanish yo'q
complete,Complete,Завершить,Bajarildi deb belgilash
pleaseCheck,Please check your internet connection and try again.,"Пожалуйста, проверьте подключение к интернету и попробуйте снова.",Internetga ulanishingizni tekshiring va qaytadan urinib ko'ring.
markAsComplete,Mark as complete,Отметить как выполненное,Bajarilgan deb belgilash
prev,Prev.,Пред.,Oldingi
totalTimeLearning,Total time learning,Общее время обучения,Umumiy o'qish vaqti
courseInProgress,Courses in progress,Пройденные курсы,Davom etayotgan kurslar
courseCompleted,Courses completed,Завершенные курсы,Tugallangan kurslar
info,Info,Инфо,Ma'lumot
content,Content,Контент,Kontent
news,News,Новости,Yangiliklar
newsWillAppear,News will appear here,Новости будут появляться здесь.,Yangiliklar bu yerda ko'rsatiladi
free,Free,Бесплатно,Bepul
enrollToThisCourse,Enroll to this course,Записаться на этот курс,Ushbu kursga yozilish
learnWithLeti,Learn with Leti — Start Your Journey Today,Учитесь с Лети — начните свой путь сегодня!,Leti bilan o'rganing — Bugun sayohatingizni boshlang
exploreHighQuality,Explore high-quality courses across different fields. Begin today — more subjects are coming soon.,Изучите высококачественные курсы по различным направлениям. Начните сегодня — скоро появятся новые предметы.,Turli sohalardagi yuqori sifatli kurslarni o'rganing. Bugun boshlang — tez orada ko'proq fanlar qo'shiladi.
joinForFree,Join for free,Присоединяйтесь бесплатно!,Bepul qo'shiling
ourCourses,Our courses,Наши курсы,Bizning kurslarimiz
price,Price,Цена,Narxi
noCoursesFound,No courses found,Курсы не найдены,Kurslar topilmadi
keepLearning,Keep learning - your courses will appear here,Продолжайте обучение — ваши курсы появятся здесь,O'rganishda davom eting - kurslaringiz shu yerda ko'rinadi
browseCourses,Browse Courses,Просмотреть курсы,Kurslarni ko'rib chiqing
welcometoLeti,Welcome to Leti,Добро пожаловать в Leti!,Letiga xush kelibsiz
continueLearningAndGrowing,Continue learning and growing with Leti.,Продолжайте учиться и развиваться вместе с Leti.,Leti bilan o'rganishda va o'sishda davom eting.
pleseEnterFirstLastName,Please enter your first and last name.,"Пожалуйста, введите ваше имя и фамилию.","Iltimos, ismingiz va familiyangizni kiriting."
yourRequestSuccessManagerWillContact,Your request has been sent successfully. Our manager will contact you shortly.,Ваш запрос успешно отправлен. Наш менеджер свяжется с вами в ближайшее время.,Sizning so`rovingiz muvaffaqiyatli yuborildi. Bizning managerimiz yaqin vaqt ichida siz bilan bog`lanadi.
requested,Requested,Запрошено,So'ralgan
singInToAccess,"Sign in to access your courses, track progress, and continue learning.","Войдите в систему, чтобы получить доступ к своим курсам, отслеживать прогресс и продолжить обучение.","Kurslaringizga kirish, taraqqiyotni kuzatish va o'qishni davom ettirish uchun tizimga kiring."
allCourses,All courses,Все курсы,Barcha kurslar
congratulations,Congratulations! 🎉,Поздравляем! 🎉,Tabriklaymiz! 🎉
youhavesuccessfully,You’ve successfully completed the quiz and scored,Вы успешно прошли викторину и набрали баллы.,Siz testni muvaffaqiyatli yakunladingiz va ball to'pladingiz
tryagain,Try Again 💪,Попробуйте еще раз 💪,Qayta urinib ko'ring 💪
youscored,You scored,Вы набрали,Siz terdingiz
pointsAnd,points and didn’t pass the quiz this time.,"баллы, но на этот раз не прошли викторину","ball oldi, lekin bu safar viktorinadan o'ta olmadi"
selectAllCorrectAnswers,Select all correct answers,Выберите все правильные ответы,Barcha to'g'ri javoblarni tanlang
watchExplanation,Watch explanation,Посмотрите объяснение,Tushuntirishni tomosha qiling
retakeQuiz,Retake quiz,Перепройдите викторину,Viktorinani qayta topshiring
videoNotAvailable,Video not available,Видео недоступно,Video mavjud emas
